,variantid,gene_symbol,variant_dsi,variant_dpi,variant_consequence_type,diseaseid,disease_name,disease_class,disease_class_name,disease_type,disease_semantic_type,score,ei,year_initial,year_final,source,disease_id
1285,rs17710780,None,1.0,0.04,regulatory region variant,C0024517,"Major depression, single episode",F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2020,2020,ALL,EFO_0003761
1286,rs1801028,DRD2,0.716,0.2,missense variant,C0024517,"Major depression, single episode",F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2001,2001,ALL,EFO_0003761
1287,rs1928040,HTR2A,1.0,0.04,intron variant,C0024517,"Major depression, single episode",F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2010,2010,ALL,EFO_0003761
1288,rs25531,SLC6A4;LOC105371720,0.581,0.52,upstream gene variant,C0024517,"Major depression, single episode",F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2008,2008,ALL,EFO_0003761
1289,rs6296,HTR1B;LOC105377864,0.732,0.16,synonymous variant,C0024517,"Major depression, single episode",F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2003,2003,ALL,EFO_0003761
1290,rs6313,HTR2A,0.562,0.64,synonymous variant,C0024517,"Major depression, single episode",F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2014,2014,ALL,EFO_0003761
1291,rs747762300,CSF2,1.0,0.04,missense variant,C0024517,"Major depression, single episode",F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2009,2009,ALL,EFO_0003761
1292,rs7997012,HTR2A,0.807,0.08,intron variant,C0024517,"Major depression, single episode",F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2010,2010,ALL,EFO_0003761
1293,rs25531,SLC6A4;LOC105371720,0.581,0.52,upstream gene variant,C0025193,Melancholia,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2008,2008,ALL,EFO_0003761
1294,rs58532686,None,1.0,0.04,upstream gene variant,C0025193,Melancholia,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2010,2010,ALL,EFO_0003761
1295,rs6295,HTR1A,0.645,0.2,intron variant,C0025193,Melancholia,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2008,2008,ALL,EFO_0003761
1296,rs6313,HTR2A,0.562,0.64,synonymous variant,C0025193,Melancholia,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2015,2015,ALL,EFO_0003761
1297,rs7103411,BDNF;BDNF-AS,0.752,0.16,intron variant,C0025193,Melancholia,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2010,2010,ALL,EFO_0003761
1298,rs806371,CNR1,0.882,0.04,intron variant,C0025193,Melancholia,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2013,2013,ALL,EFO_0003761
1299,rs10447760,None,0.851,0.04,upstream gene variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2013,2013,ALL,EFO_0003761
1300,rs10494251,BCL9,0.851,0.04,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2011,2011,ALL,EFO_0003761
1301,rs10514299,TMEM161B-AS1,0.827,0.12,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2018,2018,ALL,EFO_0003761
1302,rs10748842,NRG3,0.807,0.12,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2017,2017,ALL,EFO_0003761
1303,rs10994336,ANK3,0.776,0.16,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2011,2011,ALL,EFO_0003761
1304,rs11178997,TPH2,0.827,0.04,upstream gene variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2015,2015,ALL,EFO_0003761
1305,rs1137070,MAOA,0.763,0.16,synonymous variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2016,2016,ALL,EFO_0003761
1306,rs11568817,HTR1B;LOC105377864,0.79,0.12,5 prime UTR variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2009,2009,ALL,EFO_0003761
1307,rs1176744,HTR3B,0.708,0.24,missense variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2008,2008,ALL,EFO_0003761
1308,rs11904814,CREB1,0.851,0.08,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2017,2017,ALL,EFO_0003761
1309,rs11989919,NRG1,0.882,0.04,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2016,2016,ALL,EFO_0003761
1310,rs1217691063,MTHFR,0.33,0.92,missense variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,0.0,2012,2012,ALL,EFO_0003761
1311,rs12278912,NRGN,0.882,0.04,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2016,2016,ALL,EFO_0003761
1312,rs12476147,ZNF804A,0.851,0.04,missense variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2018,2018,ALL,EFO_0003761
1313,rs12649507,CLOCK,0.851,0.08,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2019,2019,ALL,EFO_0003761
1314,rs12720071,CNR1,0.807,0.2,3 prime UTR variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2008,2008,ALL,EFO_0003761
1315,rs130058,HTR1B;LOC105377864,0.79,0.12,5 prime UTR variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2009,2009,ALL,EFO_0003761
1316,rs1344706,ZNF804A,0.701,0.16,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2018,2018,ALL,EFO_0003761
1317,rs1352618632,STARD13,0.925,0.04,missense variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2005,2005,ALL,EFO_0003761
1318,rs135745,None,0.763,0.2,downstream gene variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2019,2019,ALL,EFO_0003761
1319,rs139438618,SEMA3A,0.882,0.08,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2017,2017,ALL,EFO_0003761
1320,rs1401635,BDNF;BDNF-AS,0.925,0.04,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2015,2015,ALL,EFO_0003761
1321,rs140504,BCR;LOC107985554,0.882,0.04,missense variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2005,2005,ALL,EFO_0003761
1322,rs1415088003,ACE,0.827,0.16,synonymous variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2002,2002,ALL,EFO_0003761
1323,rs1432441,MAP2K1,0.882,0.04,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2017,2017,ALL,EFO_0003761
1324,rs146486358,CUX1,0.882,0.08,missense variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2011,2011,ALL,EFO_0003761
1325,rs1488864,CAVIN3;LOC101927825,0.851,0.08,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2017,2017,ALL,EFO_0003761
1326,rs1535255,CNR1,0.807,0.12,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2013,2013,ALL,EFO_0003761
1327,rs1541187,BCL9,0.882,0.04,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2011,2011,ALL,EFO_0003761
1328,rs1545843,LOC107984536,0.827,0.12,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2013,2013,ALL,EFO_0003761
1329,rs1549854,MAP2K1,0.882,0.04,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2017,2017,ALL,EFO_0003761
1330,rs16139,NPY;LOC107986777,0.658,0.56,missense variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2013,2013,ALL,EFO_0003761
1331,rs165599,ARVCF;COMT,0.677,0.28,3 prime UTR variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2011,2011,ALL,EFO_0003761
1332,rs17236239,CNTNAP2,0.882,0.04,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2013,2013,ALL,EFO_0003761
1333,rs174697,ARVCF;COMT,0.851,0.08,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2012,2012,ALL,EFO_0003761
1334,rs1799752,ACE,0.677,0.48,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2017,2017,ALL,EFO_0003761
1335,rs1800497,ANKK1,0.62,0.4,missense variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2013,2013,ALL,EFO_0003761
1336,rs1800587,IL1A,0.62,0.72,upstream gene variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2013,2013,ALL,EFO_0003761
1337,rs1805054,HTR6,0.708,0.2,synonymous variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2005,2005,ALL,EFO_0003761
1338,rs1805087,MTR,0.496,0.8,missense variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2012,2012,ALL,EFO_0003761
1339,rs195478,None,0.925,0.04,intergenic variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2012,2012,ALL,EFO_0003761
1340,rs2075650,TOMM40,0.662,0.36,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2014,2014,ALL,EFO_0003761
1341,rs208294,P2RX7;LOC105370032,0.79,0.32,missense variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,0.0,2011,2011,ALL,EFO_0003761
1342,rs2137947,LOC105376934,0.882,0.04,downstream gene variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2019,2019,ALL,EFO_0003761
1343,rs2199503,GSK3B,0.851,0.08,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2015,2015,ALL,EFO_0003761
1344,rs2228570,VDR,0.521,0.76,start lost,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2017,2017,ALL,EFO_0003761
1345,rs2234693,ESR1,0.555,0.68,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2012,2012,ALL,EFO_0003761
1346,rs2253206,None,0.851,0.08,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2017,2017,ALL,EFO_0003761
1347,rs2268666,GRM1,1.0,0.04,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2012,2012,ALL,EFO_0003761
1348,rs2273816,KPNA3,0.851,0.08,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2012,2012,ALL,EFO_0003761
1349,rs231779,CTLA4,0.827,0.16,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2011,2011,ALL,EFO_0003761
1350,rs2551941,METTL21A,0.925,0.04,upstream gene variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2017,2017,ALL,EFO_0003761
1351,rs259127,CMYA5,0.882,0.04,non coding transcript exon variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2014,2014,ALL,EFO_0003761
1352,rs2710102,CNTNAP2,0.79,0.12,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2013,2013,ALL,EFO_0003761
1353,rs2710117,CNTNAP2,0.882,0.04,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2013,2013,ALL,EFO_0003761
1354,rs2919375,NRG1,0.925,0.04,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2016,2016,ALL,EFO_0003761
1355,rs2984618,TAL1,0.925,0.04,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2015,2015,ALL,EFO_0003761
1356,rs324420,FAAH,0.637,0.44,missense variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2010,2010,ALL,EFO_0003761
1357,rs334535,GSK3B,0.882,0.04,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2015,2015,ALL,EFO_0003761
1358,rs3746544,SNAP25;SNAP25-AS1,0.79,0.12,3 prime UTR variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2015,2015,ALL,EFO_0003761
1359,rs3760138,AANAT,0.807,0.16,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2010,2010,ALL,EFO_0003761
1360,rs3787283,SNAP25;SNAP25-AS1,0.882,0.04,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2015,2015,ALL,EFO_0003761
1361,rs3810950,CHAT,0.882,0.08,missense variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2011,2011,ALL,EFO_0003761
1362,rs3825882,NTRK3,0.925,0.04,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2008,2008,ALL,EFO_0003761
1363,rs41423247,NR3C1,0.695,0.44,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2016,2016,ALL,EFO_0003761
1364,rs4236710,NRG1,0.882,0.04,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2016,2016,ALL,EFO_0003761
1365,rs4238989,AANAT,0.851,0.12,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2010,2010,ALL,EFO_0003761
1366,rs4290270,TPH2,0.724,0.32,synonymous variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2017,2017,ALL,EFO_0003761
1367,rs4291,ACE,0.724,0.4,upstream gene variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2006,2006,ALL,EFO_0003761
1368,rs4512342,NRG1,0.827,0.12,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2016,2016,ALL,EFO_0003761
1369,rs4531002,NRG1,0.882,0.04,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2016,2016,ALL,EFO_0003761
1370,rs4570625,TPH2,0.724,0.2,upstream gene variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2015,2015,ALL,EFO_0003761
1371,rs4630333,TIMELESS,0.882,0.04,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2019,2019,ALL,EFO_0003761
1372,rs4713916,FKBP5,0.79,0.16,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2014,2014,ALL,EFO_0003761
1373,rs4887379,NTRK3,0.925,0.04,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2008,2008,ALL,EFO_0003761
1374,rs53576,CAV3;OXTR,0.641,0.32,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2016,2016,ALL,EFO_0003761
1375,rs61888800,BDNF,0.851,0.08,5 prime UTR variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2013,2013,ALL,EFO_0003761
1376,rs6195,NR3C1,0.807,0.12,missense variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2017,2017,ALL,EFO_0003761
1377,rs6276,DRD2,0.807,0.32,3 prime UTR variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2014,2014,ALL,EFO_0003761
1378,rs6277,DRD2,0.689,0.48,synonymous variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,0.0,2013,2013,ALL,EFO_0003761
1379,rs6296,HTR1B;LOC105377864,0.732,0.16,synonymous variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2003,2003,ALL,EFO_0003761
1380,rs6314,HTR2A,0.677,0.36,missense variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2001,2001,ALL,EFO_0003761
1381,rs6320,HTR5A;HTR5A-AS1,0.925,0.04,synonymous variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,0.0,2014,2014,ALL,EFO_0003761
1382,rs662,PON1,0.485,0.84,missense variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2014,2014,ALL,EFO_0003761
1383,rs6691840,GRIK3,0.827,0.12,missense variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2009,2009,ALL,EFO_0003761
1384,rs672607,BCL9,0.851,0.04,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2011,2011,ALL,EFO_0003761
1385,rs6740584,CREB1,0.882,0.04,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2017,2017,ALL,EFO_0003761
1386,rs6771023,GSK3B,0.882,0.04,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2015,2015,ALL,EFO_0003761
1387,rs68081839,GRIA4,0.882,0.08,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2018,2018,ALL,EFO_0003761
1388,rs6857715,NPY2R;LOC107986321,0.827,0.16,non coding transcript exon variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2017,2017,ALL,EFO_0003761
1389,rs6883197,CMYA5,0.882,0.04,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2014,2014,ALL,EFO_0003761
1390,rs688325,BCL9,0.851,0.04,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2011,2011,ALL,EFO_0003761
1391,rs6982890,NRG1,0.882,0.04,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2016,2016,ALL,EFO_0003761
1392,rs7124442,BDNF;BDNF-AS,0.827,0.16,3 prime UTR variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,0.0,2010,2010,ALL,EFO_0003761
1393,rs7294919,None,0.851,0.08,regulatory region variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2017,2017,ALL,EFO_0003761
1394,rs7305115,TPH2,0.807,0.2,synonymous variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2010,2010,ALL,EFO_0003761
1395,rs7343,CMYA5,0.925,0.04,3 prime UTR variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2014,2014,ALL,EFO_0003761
1396,rs737865,COMT;TXNRD2,0.763,0.24,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2011,2011,ALL,EFO_0003761
1397,rs760161369,MTHFR,0.882,0.04,missense variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,0.0,2012,2012,ALL,EFO_0003761
1398,rs772335034,P2RX2,1.0,0.04,missense variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2009,2009,ALL,EFO_0003761
1399,rs794727961,CACNA1C,0.851,0.08,missense variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2010,2010,ALL,EFO_0003761
1400,rs796590326,P2RX7;LOC105370032,0.851,0.2,missense variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,0.0,2011,2011,ALL,EFO_0003761
1401,rs7997012,HTR2A,0.807,0.08,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2019,2019,ALL,EFO_0003761
1402,rs806368,CNR1,0.752,0.28,3 prime UTR variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2013,2013,ALL,EFO_0003761
1403,rs806371,CNR1,0.882,0.04,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2013,2013,ALL,EFO_0003761
1404,rs8150,AANAT;RHBDF2,0.807,0.16,3 prime UTR variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2010,2010,ALL,EFO_0003761
1405,rs821616,DISC1;TSNAX-DISC1,0.752,0.2,missense variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2006,2006,ALL,EFO_0003761
1406,rs9296158,FKBP5;LOC112267956,0.763,0.08,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2014,2014,ALL,EFO_0003761
1407,rs9340799,ESR1,0.583,0.68,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2012,2012,ALL,EFO_0003761
1408,rs9394309,FKBP5,0.851,0.04,intron variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2014,2014,ALL,EFO_0003761
1409,rs945032,BDKRB2,0.882,0.04,upstream gene variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2009,2009,ALL,EFO_0003761
1410,rs946903,BCL9,0.882,0.04,3 prime UTR variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2011,2011,ALL,EFO_0003761
1411,rs9722,S100B,0.776,0.2,3 prime UTR variant,C0041696,Unipolar Depression,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2008,2008,ALL,EFO_0003761
1412,rs1079610,OPN4;LOC105378409,1.0,0.04,missense variant,C0085159,Seasonal Affective Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2018,2018,ALL,EFO_0003761
1413,rs10838524,CRY2,0.851,0.12,intron variant,C0085159,Seasonal Affective Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2012,2012,ALL,EFO_0003761
1414,rs11541353,NPAS2;NPAS2-AS1,0.851,0.12,missense variant,C0085159,Seasonal Affective Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2012,2012,ALL,EFO_0003761
1415,rs140701,SLC6A4,0.79,0.2,intron variant,C0085159,Seasonal Affective Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2010,2010,ALL,EFO_0003761
1416,rs1799971,OPRM1,0.559,0.6,missense variant,C0085159,Seasonal Affective Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2018,2018,ALL,EFO_0003761
1417,rs1801260,CLOCK;TMEM165,0.695,0.28,3 prime UTR variant,C0085159,Seasonal Affective Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2015,2015,ALL,EFO_0003761
1418,rs2028122,RORA;RORA-AS1,0.851,0.12,intron variant,C0085159,Seasonal Affective Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2012,2012,ALL,EFO_0003761
1419,rs2072621,GPR50;GPR50-AS1,0.851,0.08,non coding transcript exon variant,C0085159,Seasonal Affective Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2012,2012,ALL,EFO_0003761
1420,rs2287161,MTERF2,0.827,0.08,upstream gene variant,C0085159,Seasonal Affective Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2012,2012,ALL,EFO_0003761
1421,rs2314339,NR1D1,0.851,0.12,intron variant,C0085159,Seasonal Affective Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.01,1.0,2012,2012,ALL,EFO_0003761
